15
1984,George Orwell,Romanzo,328,Penguin Books
Il signore degli anelli,J.R.R. Tolkien,Fantasy,1216,Bompiani
Harry Potter e la pietra filosofale,J.K. Rowling,Fantasy,332,Salani
Il nome della rosa,Umberto Eco,Giallo storico,576,Bompiani
Il problema dei tre corpi,Liu Cixin,Science fiction,416,Piemme
La fattoria degli animali,George Orwell,Romanzo allegorico,144,Feltrinelli
Il giovane Holden,J.D. Salinger,Romanzo,240,Mondadori
Il fu Mattia Pascal,Luigi Pirandello,Romanzo,184,Mondadori
1984,George Orwell,Romanzo,328,Piemme
Harry Potter e la camera dei segreti,J.K.
Rowling,Fantasy,360,Salani
Il signore delle mosche,William Golding,Romanzo,248,Feltrinelli
Il nome della rosa,Umberto Eco,Giallo storico,576,Bompiani
Il problema dei tre corpi,Liu Cixin,Science fiction,416,Piemme
Il sistema periodico,Primo Levi,Raccolta di racconti,288,Einaudi
Morte accidentale di un anarchico,Dario Fo,Commedia,144,Mondadori
